,Name,city,started_in,number_of_funding_rounds,funding_amount,industries,Founders,Number of employees,Number of investors
147,JioSaavn, Mumbai,2007,7,131591747," Internet, Mobile, Music, Music Streaming, Video Streaming"," Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat", 101-250,13
148,nearbuy, New Delhi,2011,3,37237275," Apps, E-Commerce, Internet, Restaurants, Travel", Ankur Warikoo, 501-1000,2
149,Indifi Technologies, Gurgaon,2015,5,35826551," Credit, Financial Services, FinTech, Lending"," Alok Mittal, Siddharth Mahanot, Sundeep Sahi", 101-250,15
150,Portea Medical, Bengaluru,2013,6,76066894," Health Care, Home Health Care, Hospital, Medical"," Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones", 1001-5000,10
151,Stashfin, New Delhi,2016,3,75000000," Apps, Banking, Finance, Financial Services, FinTech", Tushar Aggarwal, 51-100,14
152,Square Yards, Gurgaon,2014,6,73000000," Market Research, Real Estate"," Kanika Gupta, Tanuj Shori", 5001-10000,11
153,HealthifyMe, Bengaluru,2012,7,25000000," Apps, Fitness, Health Care, mHealth"," Mathew Cherian, Sachin Shenoy, Tushar Vashisht", 101-250,17
154,QuickSell, Mumbai,2017,2,2225000, Software, Deepak Bhagchandani, 11-50,6
155,Perpule, Bengaluru,2016,3,6361203," Apps, Billing, Enterprise Software, Mobile Payments, Point of Sale, Retail Technology, SaaS, Shopping, Software"," Abhinav Pathak, Saketh BSV, Yogesh Ghaturle", 101-250,5
156,ReNew Power, Gurgaon,2011,12,2776179257," Clean Energy, Energy, Renewable Energy, Solar, Wind Energy", Sumant Sinha, 101-250,9
157,Hike, New Delhi,2012,5,261000000," Apps, Messaging, Mobile, Online Portals, Social Network", Kavin Bharti Mittal, 251-500,10
158,Mswipe Technologies, Mumbai,2011,9,97467607," Financial Services, Payments", Manish Patel, 5001-10000,14
159,Virohan, Gurgaon,2018,6,3450000," Continuing Education, Corporate Training, EdTech, Health Care, Higher Education, Vocational Education"," Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja", 101-250,9
160,BimaPe, Mumbai,2020,2,545000," Consumer Applications, FinTech, InsurTech", Rahul Mathur, 1-10,5
161,Netmeds, Chennai,2010,3,99000000," E-Commerce, Health Care, Pharmaceutical", Pradeep Dadha, 501-1000,4
162,XYXX Apparels, Surat,2017,3,4923799," Gaming, Sports", Yogesh Kabra, 51-100,3
163,One97, Noida,2000,13,4432652051," Finance, FinTech, Internet, Mobile Advertising, Mobile Payments, Software", Vijay Shekhar Sharma, 1001-5000,15
164,Airmeet, Bengaluru,2019,4,15000000," Events, Social, Software, Video Conferencing"," Lalit Mangal, Manoj Singh, Vinay Kumar Jasti", 51-100,20
165,BookMyShow, Mumbai,1999,6,224500000," Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports"," Ashish Hemrajani, Parikshit Dar, Rajesh Balpande", 501-1000,6
166,Embibe, Mumbai,2012,4,196656376," Content Creators, Digital Marketing, EdTech, Education, Tutoring", Aditi Avasthi, 101-250,4
167,Awign Enterprises, Bengaluru,2016,5,5463025," Business Development, E-Commerce, EdTech, Hospitality, Information Technology, Last Mile Transportation, Marketing, Outsourcing"," Annanya Sarthak, Gurpreet Singh, Praveen Sah", 251-500,11
168,ixigo, Gurgaon,2006,5,35500000," Mobile, Mobile Apps, Tourism, Travel"," Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar", 101-250,6
169,Shuttl, Gurgaon,2015,13,122313023," Apps, Mobile, Software, Transportation"," Amit Singh, Deepanshu Malviya", 251-500,22
170,Chai Point, Bengaluru,2010,9,46221395," Food and Beverage, Food Processing, Restaurants, Snack Food, Tea"," Amuleek Singh Bijral, Gaganjot Kaur", 1001-5000,6
